step,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
25,0.06536574377119542,0.9336575398445129,0.8834773807525634,0.05389795337102846,0.9455533592167966,0.9034158339995348,0.0002
26,0.0645867537111044,0.9344594328403473,0.8847118196487427,0.05330988517897334,0.9471582668627093,0.9063259964574597,0.0002
27,0.06675836589932442,0.9322358384132385,0.8813353576660157,0.05500910748279618,0.9463303583467791,0.9051603571978396,0.0002
28,0.0648380944430828,0.9342953619956971,0.8838471715450287,0.05365144110799668,0.947337312969619,0.9069498735154699,0.0002
29,0.06406579206883907,0.9348609380722046,0.8849136555194854,0.05454081380572505,0.9455149089861773,0.9031517628781096,0.0002
30,0.06351510265469551,0.9357530913352966,0.886466374874115,0.05304083943054705,0.9471066364509141,0.9061317395664261,0.0002
31,0.05976440171897411,0.9389185461997985,0.8913193860054016,0.05192663395654656,0.948945777977774,0.9094915444741468,0.0001
32,0.059937138006091115,0.938649589061737,0.8910467467308044,0.0537872770559526,0.9465396130037403,0.9053910528114456,0.0001
33,0.05955425697565079,0.9389607303142548,0.8912735238075257,0.05331250010969158,0.9472024302758618,0.906365492803132,0.0001
34,0.05912552912533283,0.9392357585430146,0.8914585301876068,0.052713719098094455,0.9478149193965508,0.9074760455928162,0.0001
35,0.058701421916484836,0.9395148241519928,0.8924013466835022,0.05181202530385016,0.9488469842903152,0.9091965191497536,0.0001
36,0.05816665460169315,0.940420610666275,0.8934965751171112,0.051963529309737466,0.9488452044789663,0.9093473260988019,0.0001
37,0.058933093324303625,0.9393235118389129,0.8920016248226166,0.052743038575270934,0.9481303422988769,0.9077863838977205,0.0001
38,0.05779935204982758,0.9405593228340149,0.8937868838310241,0.050540519246232964,0.9497396305887523,0.9103841484782701,5e-05
39,0.0566441867351532,0.9420541462898254,0.8959850695133209,0.05091370251066908,0.9499240159512518,0.9111345457935524,5e-05
40,0.056576276183128354,0.9419304246902466,0.8958656170368194,0.05095696492778684,0.9497324884413721,0.9107693035802441,5e-05
41,0.05632449875771999,0.9417658851146699,0.8953581614494324,0.05016216593692284,0.9495163406440598,0.9100481406776253,5e-05
42,0.054918429106473925,0.9432283501625061,0.8976567578315735,0.050345096090239676,0.9496239039474381,0.9104070629545314,5e-05
43,0.056172051832079885,0.9419875245094299,0.8958825142383575,0.050503767487739853,0.9502386265172216,0.9114832325490887,5e-05
44,0.05670420956611633,0.941628080368042,0.8954974431991577,0.05184035585029515,0.9492319783645714,0.9098593533158065,5e-05
45,0.055671667665243146,0.9424033915996551,0.8963203361034393,0.050873202716043134,0.9503318208182405,0.9114760226475265,5e-05
46,0.0557359399497509,0.9422822577953338,0.8962872169017791,0.05036639874641172,0.9500680848985851,0.91116779882037,5e-05
47,0.055465187266469,0.9426557080745697,0.8968449811935425,0.05084841253009147,0.9497331852565507,0.910798033732854,5e-05
48,0.055612703382968906,0.9426950597763062,0.8971231820583343,0.05169549013326268,0.9495256155312894,0.9101429827317982,5e-05
49,0.054957608699798585,0.9431375660896302,0.8975307006835938,0.0518394936798159,0.9495334928621075,0.9103894977274531,5e-05
50,0.05352625578641892,0.944560583114624,0.8996105391979218,0.0513078635354004,0.9499798047685337,0.9111518230504856,2.5e-05
51,0.054522386685013774,0.9441204841136932,0.8991140005588532,0.05141191061087949,0.9497024416923523,0.9104066272814593,2.5e-05
52,0.052177941516041756,0.9458169317245484,0.9016830716133117,0.05187868676008935,0.9498274803994421,0.910704997723212,2.5e-05
